"sirius_smiles"	"sirius_structurePerIdRank"	"sirius_formulaRank"	"sirius_ConfidenceScoreExact"	"sirius_ConfidenceScoreApproximate"	"sirius_CSI:FingerIDScore"	"sirius_ZodiacScore"	"sirius_SiriusScoreNormalized"	"sirius_SiriusScore"	"sirius_molecularFormula"	"sirius_adduct"	"sirius_precursorFormula"	"sirius_InChIkey2D"	"sirius_InChI"	"sirius_name"	"sirius_xlogp"	"sirius_pubchemids"	"sirius_links"	"sirius_dbflags"	"sirius_ionMass"	"sirius_retentionTimeInSeconds"	"sirius_retentionTimeInMinutes"	"sirius_formulaId"	"sirius_alignedFeatureId"	"sirius_mappingFeatureId"	"sirius_overallFeatureQuality"	"sirius_chebiid"	"sirius_chebiasciiname"	"sirius_searchscore"	"sirius_entitystar"	"feature_id"
"C=CC(=O)OCCCCCCCCCCOC(=O)C=C"	1	4	"0.029"	"0.029"	-154.672	0.02	0.237	108.588	"C16H26O4"	"[M + H3N + H]+"	"C16H30NO4+"	"RHNJVKIVSXGYBD"	"InChI=1S/C16H26O4/c1-3-15(17)19-13-11-9-7-5-6-8-10-12-14-20-16(18)4-2/h3-4H,1-2,5-14H2"	"10-(2,3,3-Trideuterioprop-2-enoyloxy)decyl 2,3,3-trideuterioprop-2-enoate"	4.8	"138978382;83079"	"NORMAN:(NS00009407);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(138978382 83079);DSSTox:(DTXSID40893231)"	137506324482	300.217	113	1.877	695994780217055616	695994645001078912	59	NA	NA	NA	NA	NA	59
"C=CC(C(=O)O)N"	1	1	"0.176"	"0.442"	-69.531	1	0.993	14.204	"C4H7NO2"	"[M + Na]+"	"C4H7NNaO2+"	"RQVLGLPAZTUBKX"	"InChI=1S/C4H7NO2/c1-2-3(5)4(6)7/h2-3H,1,5H2,(H,6,7)"	"2-aminobut-3-enoic acid"	-2.6	"17753810;101086486;23405597;5287579;5287580;20477170;11332421;153456121;99963;156126"	"PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0240520);NORMAN:(NS00068672);BloodExposome:(99963);METACYC:(CPD-13343);CHEBI:(43858 134467);SUPERNATURAL:(SN0332767);MESH:(99963 156126);PUBCHEM:(17753810 101086486 23405597 5287579 5287580 20477170 11332421 153456121 99963 156126);DSSTox:(DTXSID20597543 DTXSID60866280 DTXSID901025432);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"	137496889446	124.037	358	5.965	695994977810727808	695994670833799808	678	NA	"CHEBI:232155"	"2-amino-6-diazo-5-oxohexanoic acid"	"2.13"	"2"	678
"C=CC(C(=O)O)NC(CCCCN)C(=O)N1CCCC1C(=O)O"	1	1	"0.295"	"0.295"	-202.035	1	0.332	55.778	"C15H25N3O5"	"[M - H2O + H]+"	"C15H24N3O4+"	"XAVSGXAXWAGEND"	"InChI=1S/C15H25N3O5/c1-2-10(14(20)21)17-11(6-3-4-8-16)13(19)18-9-5-7-12(18)15(22)23/h2,10-12,17H,1,3-9,16H2,(H,20,21)(H,22,23)"	"(2S)-1-[(2S)-6-amino-2-(1-carboxyprop-2-enylamino)hexanoyl]pyrrolidine-2-carboxylic acid"	-0.206	"70460823"	"PUBCHEM:(70460823)"	2	310.176	253	4.219	695994960207233664	695994663225331456	456	NA	NA	NA	NA	NA	456
"C=CC(C(C(=O)O)O)C(=O)O"	1	1	"0.059"	"0.059"	-109.87	0.997	0.389	48.145	"C6H8O5"	"[M - H2O + H]+"	"C6H7O4+"	"CCYHZXJMZCTPIG"	"InChI=1S/C6H8O5/c1-2-3(5(8)9)4(7)6(10)11/h2-4,7H,1H2,(H,8,9)(H,10,11)"	"(2S,3R)-2-ethenyl-3-hydroxybutanedioic acid"	-0.5	"100916201;10654516"	"PUBCHEMANNOTATIONBIO;PUBCHEM:(100916201 10654516);DSSTox:(DTXSID101261688);PUBMED"	137455730754	143.034	245	4.082	695994866300957056	695994662386470528	433	NA	"CHEBI:145098"	"3-O-caffeoyl-2-(2-butyl)-2-hydroxybutanedioic acid"	"2.26"	"2"	433
"C=CC1=CC(=CC=C1)O"	1	1	"0.399"	"0.712"	-43.929	1	0.333	80.533	"C8H8O"	"[M + H3N + H]+"	"C8H12NO+"	"YNGIFMKMDRDNBQ"	"InChI=1S/C8H8O/c1-2-7-4-3-5-8(9)6-7/h2-6,9H,1H2"	"3-(2-Deuterioethenyl)phenol"	2.043	"3013921;141351051"	"PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(3013921 141351051);DSSTox:(DTXSID00211033);PUBMED:(null)"	137506062402	138.091	189	3.154	695994822491449344	695994657198115840	284	NA	"CHEBI:135568"	"lorcainide"	"2.49"	"2"	284
"C=CCOC=C"	1	2	"0.024"	"0.024"	-43.068	0.015	0.333	46.413	"C5H8O"	"[M + H3N + H]+"	"C5H12NO+"	"ZXABMDQSAABDMG"	"InChI=1S/C5H8O/c1-3-5-6-4-2/h3-4H,1-2,5H2"	"3-(ethenyloxy)prop-1-ene"	1.5	"221523"	"COCONUT:(CNP0367857);NORMAN:(NS00030530);PUBCHEMANNOTATIONSAFETYANDTOXIC;SUPERNATURAL:(SN0482583);PUBCHEM:(221523);DSSTox:(DTXSID70192406);PUBMED"	137509470274	102.092	248	4.127	695994817869325952	695994662591991424	441	NA	"CHEBI:31725"	"isoamyl acetate"	"3.79"	"3"	441
"C=CCOC1C(C(C(C(O1)CO)O)OC2C(C(C(C(O2)CO)O)O)O)O"	1	1	"0.255"	"0.255"	-99.513	1	0.33	108.909	"C15H26O11"	"[M + H3N + H]+"	"C15H30NO11+"	"KBAFHPOIOMSLRU"	"InChI=1S/C15H26O11/c1-2-3-23-14-12(22)13(9(19)7(5-17)24-14)26-15-11(21)10(20)8(18)6(4-16)25-15/h2,6-22H,1,3-5H2"	"2-{[3,5-dihydroxy-2-(hydroxymethyl)-6-(prop-2-en-1-yloxy)oxan-4-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol"	-3	"101264109;101264110;14160753;102013089"	"COCONUT:(CNP0018614);SUPERNATURAL:(SN0180706);PUBCHEM:(101264109 101264110 14160753 102013089)"	3145730	400.182	201	3.345	695994851297930880	695994658770980096	326	NA	NA	NA	NA	NA	326
"C=CCOCC(C(=O)O)NC(=O)CCC1=CC=C(C=C1)F"	1	1	"0.059"	"0.059"	-337.306	0.975	0.333	57.428	"C15H18FNO4"	"[M + H3N + H]+"	"C15H22FN2O4+"	"ZSLRGANUDBYZAN"	"InChI=1S/C15H18FNO4/c1-2-9-21-10-13(15(19)20)17-14(18)8-5-11-3-6-12(16)7-4-11/h2-4,6-7,13H,1,5,8-10H2,(H,17,18)(H,19,20)"	"2-[3-(4-Fluorophenyl)propanoylamino]-3-prop-2-enoxypropanoic acid"	1.7	"121953736"	"PUBCHEM:(121953736)"	2	313.155	174	2.906	695994786416237568	695994655532977024	236	NA	NA	NA	NA	NA	236
"C=CNN=C(C(=O)O)N"	1	1	"0.040"	"0.040"	-107.665	1	0.332	10.243	"C4H7N3O2"	"[M - H2O + H]+"	"C4H6N3O+"	"ARYMOUCKVBXKRT"	"InChI=1S/C4H7N3O2/c1-2-6-7-3(5)4(8)9/h2,6H,1H2,(H2,5,7)(H,8,9)"	"(2Z)-2-amino-2-(ethenylhydrazinylidene)acetic acid"	0.7	"88579278"	"PUBCHEM:(88579278)"	2	112.051	202	3.369	695994855827779328	695994658829700352	328	NA	NA	NA	NA	NA	328
"C=COCC(=O)COC=C"	1	1	"0.178"	"0.178"	-35.595	0.651	0.333	118.303	"C7H10O3"	"[M + H3N + H]+"	"C7H14NO3+"	"UKFKZQIKLWWMSV"	"InChI=1S/C7H10O3/c1-3-9-5-7(8)6-10-4-2/h3-4H,1-2,5-6H2"	"1,3-Bis(ethenoxy)propan-2-one"	1.2	"164002536"	"PUBCHEM:(164002536)"	2	160.097	288	4.803	695994946009514112	695994667021176960	565	NA	NA	NA	NA	NA	565
"C=COCCOC(=O)NC1=CC=C(C=C1)C(C2=CC=C(C=C2)NC(=O)OC3COC=C3)(C(F)(F)F)C(F)(F)F"	1	3	"0.184"	"0.184"	-264.903	0.038	0.104	27.464	"C25H22F6N2O6"	"[M - H2O + H]+"	"C25H21F6N2O5+"	"VORZOMRJFNKXDS"	"InChI=1S/C25H22F6N2O6/c1-2-36-13-14-38-21(34)32-18-7-3-16(4-8-18)23(24(26,27)28,25(29,30)31)17-5-9-19(10-6-17)33-22(35)39-20-11-12-37-15-20/h2-12,20H,1,13-15H2,(H,32,34)(H,33,35)"	"2-ethenoxyethyl N-[4-[2-[4-(2,3-dihydrofuran-3-yloxycarbonylamino)phenyl]-1,1,1,3,3,3-hexafluoropropan-2-yl]phenyl]carbamate"	5.8	"20828099"	"PUBCHEM:(20828099)"	2	543.133	413	6.884	695995073856098560	695994675221042176	798	NA	NA	NA	NA	NA	798
"C=CS(=O)(=O)CCO"	1	1	"0.156"	"0.156"	-41.828	0.993	0.489	12.917	"C4H8O3S"	"[M - H2O + H]+"	"C4H7O2S+"	"MDNRSTYOUUKRGH"	"InChI=1S/C4H8O3S/c1-2-8(6,7)4-3-5/h2,5H,1,3-4H2"	"2-Ethenylsulfonylethanol"	-0.6	"230041"	"PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(230041);DSSTox:(DTXSID00282102)"	137506062338	119.016	131	2.181	695994772948326144	695994648771758464	122	NA	NA	NA	NA	NA	122
"C=CSC=C"	1	3	"0.162"	"0.176"	-23.466	0.044	0.327	35.687	"C4H6S"	"[M + H3N + H]+"	"C4H10NS+"	"UIYCHXAGWOYNNA"	"InChI=1S/C4H6S/c1-3-5-4-2/h3-4H,1-2H2"	"Divinyl sulfide"	1.9	"12321;152012205"	"PUBCHEMANNOTATIONBIO;HMDB:(HMDB0033922);PUBCHEMANNOTATIONSAFETYANDTOXIC;CHEBI:(177668);SUPERNATURAL:(SN0371734);MESH:(12321);FooDB:(FDB012121);PUBCHEM:(12321 152012205);DSSTox:(DTXSID10211766);LOTUS:(Q27275519);PUBCHEMANNOTATIONDRUG;PUBMED"	138362749038	104.053	272	4.53	695994956134564352	695994665100185600	514	NA	"CHEBI:38549"	"thiofanox"	"2.9"	"3"	514
"C1(C(=C(NC(=O)N1)[O])O)O"	1	3	"-Infinity"	"-Infinity"	-154.962	0.015	0.333	78.09	"C4H5N2O4"	"[M + H3N + H]+"	"C4H9N3O4+"	"XIDIWNPEMQQEGG"	"InChI=1S/C4H5N2O4/c7-1-2(8)5-4(10)6-3(1)9/h2,7-8H,(H2,5,6,10)"	"(2-Oxo-5,6-dihydroxy-1,2,3,6-tetrahydropyrimidine-4-yloxy)radical"	-2	"101192425"	"PUBCHEM:(101192425)"	2	163.061	388	6.459	695995000850040704	695994673866281856	761	NA	NA	NA	NA	NA	761
"C1(C(C([C](C(C1O)O)O)O)O)O"	1	3	"0.091"	"0.091"	-55.313	0.247	0.035	30.258	"C6H11O6"	"[M + H3N + H]+"	"C6H15NO6+"	"ANZATYAHJOCBCM"	"InChI=1S/C6H11O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-5,7-12H"	"L-myo-Inositol-3-ylradical"	-3.7	"101041455;102315892;100974144;100974145;100974146"	"PUBCHEM:(101041455 102315892 100974144 100974145 100974146)"	2	197.09	344	5.733	695994943065112448	695994669755863552	651	NA	NA	NA	NA	NA	651
"C1(NC2=C(N1)NC(=O)NC2=O)O"	1	2	"0.463"	"0.463"	-74.441	0.022	0.332	6.969	"C5H6N4O3"	"[M - H2O + H]+"	"C5H5N4O2+"	"KYKVXIJTQOYZLY"	"InChI=1S/C5H6N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h4,6,11H,(H3,7,8,9,10,12)"	"8-hydroxy-2,3,6,7,8,9-hexahydro-1H-purine-2,6-dione"	-1.2	"89409733;49766623"	"PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0117930);SUPERNATURAL:(SN0198782);PUBCHEM:(89409733 49766623)"	19922946	153.041	234	3.895	695994837943266304	695994661405003264	402	NA	NA	NA	NA	NA	402
"C1=C(C(=C(N1)CN)CC(=O)O)CC(=O)O"	1	5	"0.355"	"0.355"	-118.224	0.059	0	93.841	"C9H12N2O4"	"[M - H2O + H]+"	"C9H11N2O3+"	"OAFNJJFEEDDOAX"	"InChI=1S/C9H12N2O4/c10-3-7-6(2-9(14)15)5(4-11-7)1-8(12)13/h4,11H,1-3,10H2,(H,12,13)(H,14,15)"	"2-(Aminomethyl)-1H-pyrrole-3,4-diacetic acid"	-3.8	"102062300"	"PUBCHEM:(102062300)"	2	195.077	143	2.38	695994792091131392	695994650617252352	154	NA	NA	NA	NA	NA	154
"C1=C(C(=O)NC(=O)N1C2C(C(C(O2)CO)O)F)C=CCNC(=O)C(F)(F)F"	1	2	"-Infinity"	"-Infinity"	-279.217	0.154	0.071	104.965	"C14H15F4N3O6"	"[M + H3N + H]+"	"C14H19F4N4O6+"	"IPQVOJJLYFYHFH"	"InChI=1S/C14H15F4N3O6/c15-8-9(23)7(5-22)27-11(8)21-4-6(10(24)20-13(21)26)2-1-3-19-12(25)14(16,17)18/h1-2,4,7-9,11,22-23H,3,5H2,(H,19,25)(H,20,24,26)"	"2,2,2-trifluoro-N-[3-[1-[(2R,3S,5R)-3-fluoro-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-2,4-dioxopyrimidin-5-yl]prop-2-enyl]acetamide"	-0.4	"87153474;118262445;123522850;123290380"	"PUBCHEM:(87153474 118262445 123522850 123290380)"	2	415.123	193	3.214	695994870214242944	695994657906953344	303	NA	NA	NA	NA	NA	303
"C1=C(C(C(C1N2C=NC3=C2N=CNC3=O)O)O)CO"	1	1	"0.327"	"0.327"	-218.753	0.958	0.25	39.15	"C11H12N4O4"	"[M + H3N + H]+"	"C11H16N5O4+"	"ZOGIBYIZRGKFQR"	"InChI=1S/C11H12N4O4/c16-2-5-1-6(9(18)8(5)17)15-4-14-7-10(15)12-3-13-11(7)19/h1,3-4,6,8-9,16-18H,2H2,(H,12,13,19)"	"5-(6-hydroxy-9H-purin-9-yl)-3-(hydroxymethyl)cyclopent-3-ene-1,2-diol"	-2.2	"163072800;135455557;135459766;135459780"	"COCONUT:(CNP0369096);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);SUPERNATURAL:(SN0475809);MESH:(135459780);PUBCHEM:(163072800 135455557 135459766 135459780);DSSTox:(DTXSID80223174);PUBMED:(null)"	137509208134	282.12	275	4.578	695994893748483712	695994665385398272	522	NA	NA	NA	NA	NA	522
"C1=C(C=C(C(=C1Br)OCCC(=O)O)Br)S(=O)(=O)Cl"	1	3	"-Infinity"	"-Infinity"	-106.241	0.014	0.123	8.533	"C9H7Br2ClO5S"	"[M + K]+"	"C9H7Br2ClKO5S+"	"NEBRWGZKDMRNSK"	"InChI=1S/C9H7Br2ClO5S/c10-6-3-5(18(12,15)16)4-7(11)9(6)17-2-1-8(13)14/h3-4H,1-2H2,(H,13,14)"	"3-(2,6-Dibromo-4-chlorosulfonylphenoxy)propanoic acid"	2.8	"43134477"	"PUBCHEM:(43134477)"	2	458.77	307	5.111	695994928859004160	695994667746791680	587	NA	NA	NA	NA	NA	587
"C1=C(C=C(C(=C1CC(C(=O)O)N)O)[N+](=O)[O-])[N+](=O)[O-]"	1	1	"0.091"	"0.091"	-178.954	0.999	0.303	80.229	"C9H9N3O7"	"[M + H3N + H]+"	"C9H13N4O7+"	"JZHILFCUIHARMU"	"InChI=1S/C9H9N3O7/c10-6(9(14)15)2-4-1-5(11(16)17)3-7(8(4)13)12(18)19/h1,3,6,13H,2,10H2,(H,14,15)"	"(S)-2-Amino-3-(2-hydroxy-3,5-dinitrophenyl)propionic acid"	0.144	"10355805;10754564;44265619;44338313"	"MESH:(10754564);PUBCHEM:(10355805 10754564 44265619 44338313);PUBMED"	70	289.08	218	3.641	695994826006276352	695994659874082176	359	NA	NA	NA	NA	NA	359
"C1=C(N(C(=C1)O)OC(=O)CCCN2C=C(C(=O)NC2=O)F)O"	1	1	"0.016"	"0.016"	-252.79	0.979	0.05	24.116	"C12H12FN3O6"	"[M - H2O + H]+"	"C12H11FN3O5+"	"JSOWKPMUMWBENP"	"InChI=1S/C12H12FN3O6/c13-7-6-15(12(21)14-11(7)20)5-1-2-10(19)22-16-8(17)3-4-9(16)18/h3-4,6,17-18H,1-2,5H2,(H,14,20,21)"	"(2,5-Dihydroxypyrrol-1-yl) 4-(5-fluoro-2,4-dioxopyrimidin-1-yl)butanoate"	0.4	"91535317"	"PUBCHEM:(91535317)"	2	296.067	374	6.241	695994991962310144	695994672440218368	723	NA	NA	NA	NA	NA	723
"C1=C(NC(=O)NC1=O)S(=O)(=O)O"	1	2	"0.044"	"0.039"	-98.804	0.03	0.333	47.268	"C4H4N2O5S"	"[M + H3N + H]+"	"C4H8N3O5S+"	"ZEIHTRKTOPAPIJ"	"InChI=1S/C4H4N2O5S/c7-2-1-3(12(9,10)11)6-4(8)5-2/h1H,(H,9,10,11)(H2,5,6,7,8)"	"2,4-dioxo-1H-pyrimidine-6-sulfonate"	-1.661	"12559161;149435660"	"PUBCHEM:(12559161 149435660);PUBMED"	66	210.017	358	5.96	695995018403203712	695994670808633984	677	NA	NA	NA	NA	NA	677
"C1=C(NC=C(C1=O)O)CO"	1	2	"0.165"	"0.165"	-100.219	0.213	0.128	26.277	"C6H7NO3"	"[M - H2O + H]+"	"C6H6NO2+"	"NZRGARKXMKFZDU"	"InChI=1S/C6H7NO3/c8-3-4-1-5(9)6(10)2-7-4/h1-2,8,10H,3H2,(H,7,9)"	"6-(Hydroxymethyl)pyridine-3,4-diol"	-0.9	"249990"	"PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(249990);DSSTox:(DTXSID90185734);PUBMED:(null)"	137506062402	124.04	381	6.349	695994984156710016	695994672964506496	740	NA	NA	NA	NA	NA	740
"C1=C(NC=N1)C(CN)O"	1	1	"0.168"	"0.237"	-116.432	1	0.331	6.837	"C5H9N3O"	"[M - H2O + H]+"	"C5H8N3+"	"BGQUJROFLRFZDN"	"InChI=1S/C5H9N3O/c6-1-5(9)4-2-7-3-8-4/h2-3,5,9H,1,6H2,(H,7,8)"	"2-amino-1-(1H-imidazol-5-yl)ethanol"	-1.7	"92253804;92253806;148046"	"MESH:(148046);PUBCHEM:(92253804 92253806 148046);DSSTox:(DTXSID40923143);PUBMED:(null)"	137438953542	110.072	335	5.589	695994919799307136	695994669374181760	637	NA	NA	NA	NA	NA	637
"C1=C(NC=N1)C=CC(=O)O"	1	1	"0.851"	"0.851"	-16.438	0.999	0.326	53.405	"C6H6N2O2"	"[M + H]+"	"C6H7N2O2+"	"LOIYMIARKYCTBW"	"InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)"	"Urocanic Acid"	0	"5460052;5460648;5461073;736715;1549103;1178;133698976;71310808"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000301 HMDB0062562);MiMeDB:(MMDBc0000697 MMDBc0000830 MMDBc0010880);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(1178 5460052 736715 1549103);SUPERNATURAL:(SN0211016);MESH:(736715);FooDB:(FDB000921 FDB007506 FDB012465);PUBCHEM:(5460052 5460648 5461073 736715 1549103 1178 133698976 71310808);COCONUT:(CNP0254048);NORMAN:(NS00014985);METACYC:(ALPHA-N-ACETYLNEURAMINYL-ETCETERA-GALACT UROCANATE);CHEBI:(27248 30819 17771 27247 30817 30818);KEGG:(C00785);DSSTox:(DTXSID5041148 DTXSID50859181 DTXSID901316398);LOTUS:(Q30536 Q60998685);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"	139443046766	139.05	96	1.598	695994773149652736	695994641788241920	18	NA	NA	NA	NA	NA	18
"C1=C(NC=N1)C=CC(=O)O"	1	1	"0.749"	"0.749"	-29.599	1	0.333	20.174	"C6H6N2O2"	"[M - H2O + H]+"	"C6H5N2O+"	"LOIYMIARKYCTBW"	"InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)"	"Urocanic Acid"	0	"5460052;5460648;5461073;736715;1549103;1178;133698976;71310808"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000301 HMDB0062562);MiMeDB:(MMDBc0000697 MMDBc0000830 MMDBc0010880);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(1178 5460052 736715 1549103);SUPERNATURAL:(SN0211016);MESH:(736715);FooDB:(FDB000921 FDB007506 FDB012465);PUBCHEM:(5460052 5460648 5461073 736715 1549103 1178 133698976 71310808);COCONUT:(CNP0254048);NORMAN:(NS00014985);METACYC:(ALPHA-N-ACETYLNEURAMINYL-ETCETERA-GALACT UROCANATE);CHEBI:(27248 30819 17771 27247 30817 30818);KEGG:(C00785);DSSTox:(DTXSID5041148 DTXSID50859181 DTXSID901316398);LOTUS:(Q30536 Q60998685);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"	139443046766	121.04	96	1.598	695994773040600832	695994641846962176	19	NA	NA	NA	NA	NA	19
"C1=C(NC=N1)C=CC(=O)O"	1	1	"0.492"	"0.492"	-43.917	1	0.333	7.917	"C6H6N2O2"	"[M - H2O + H]+"	"C6H5N2O+"	"LOIYMIARKYCTBW"	"InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)"	"Urocanic Acid"	0	"5460052;5460648;5461073;736715;1549103;1178;133698976;71310808"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000301 HMDB0062562);MiMeDB:(MMDBc0000697 MMDBc0000830 MMDBc0010880);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(1178 5460052 736715 1549103);SUPERNATURAL:(SN0211016);MESH:(736715);FooDB:(FDB000921 FDB007506 FDB012465);PUBCHEM:(5460052 5460648 5461073 736715 1549103 1178 133698976 71310808);COCONUT:(CNP0254048);NORMAN:(NS00014985);METACYC:(ALPHA-N-ACETYLNEURAMINYL-ETCETERA-GALACT UROCANATE);CHEBI:(27248 30819 17771 27247 30817 30818);KEGG:(C00785);DSSTox:(DTXSID5041148 DTXSID50859181 DTXSID901316398);LOTUS:(Q30536 Q60998685);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"	139443046766	121.04	155	2.58	695994784650435456	695994653217720960	186	NA	NA	NA	NA	NA	186
"C1=C(NC=N1)C=CC(=O)O"	1	1	"0.388"	"0.388"	-46.986	0.998	0.333	63.403	"C6H6N2O2"	"[M + H3N + H]+"	"C6H10N3O2+"	"LOIYMIARKYCTBW"	"InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)"	"Urocanic Acid"	0	"5460052;5460648;5461073;736715;1549103;1178;133698976;71310808"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000301 HMDB0062562);MiMeDB:(MMDBc0000697 MMDBc0000830 MMDBc0010880);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(1178 5460052 736715 1549103);SUPERNATURAL:(SN0211016);MESH:(736715);FooDB:(FDB000921 FDB007506 FDB012465);PUBCHEM:(5460052 5460648 5461073 736715 1549103 1178 133698976 71310808);COCONUT:(CNP0254048);NORMAN:(NS00014985);METACYC:(ALPHA-N-ACETYLNEURAMINYL-ETCETERA-GALACT UROCANATE);CHEBI:(27248 30819 17771 27247 30817 30818);KEGG:(C00785);DSSTox:(DTXSID5041148 DTXSID50859181 DTXSID901316398);LOTUS:(Q30536 Q60998685);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"	139443046766	156.077	467	7.789	695994982760006656	695994678001865984	843	NA	NA	NA	NA	NA	843
"C1=C(NC=N1)CC(C(=O)O)N"	1	2	"0.822"	"0.822"	-13.163	0.019	0.333	86.706	"C6H9N3O2"	"[M + H]+"	"C6H10N3O2+"	"HNDVDQJCIGZPNO"	"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)"	"L-His"	-3.2	"101100551;22058933;9815258;136768573;136768597;136768598;136802402;136951621;6971009;6971048;87528073;15556516;16056331;5247180;16217281;16217564;5288059;5288559;5460934;5460936;5460937;5460941;5460943;5460945;5460948;51342292;118264376;53885979;86580368;129716535;4629346;58203003;124202807;137333494;102176482;102462245;162642344;162642346;162642348;136205229;135705197;136264951;136264952;59048770;135897705;59373198;25240990;25241086;25241571;10261337;10313231;10329518;71725525;71777659;132472196;11159446;11159482;11194454;11378637;130346518;773;6274;71083;135379;46781699;3651426;3651721;3723250;122411932;90472119;71309184;71309586;71309659;71309677;73755104"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000177 HMDB0250763);MiMeDB:(MMDBc0000058 MMDBc0055866);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(21947049 6274 66091 71083 773);SUPERNATURAL:(SN0130145);HSDB:(71-00-1);MESH:(773 6274);FooDB:(FDB011856);PUBCHEM:(101100551 22058933 9815258 136768573 136768597 136768598 136802402 136951621 6971009 6971048 87528073 15556516 16056331 5247180 16217281 16217564 5288059 5288559 5460934 5460936 5460937 5460941 5460943 5460945 5460948 51342292 118264376 53885979 86580368 129716535 4629346 58203003 124202807 137333494 102176482 102462245 162642344 162642346 162642348 136205229 135705197 136264951 136264952 59048770 135897705 59373198 25240990 25241086 25241571 10261337 10313231 10329518 71725525 71777659 132472196 11159446 11159482 11194454 11378637 130346518 773 6274 71083 135379 46781699 3651426 3651721 3723250 122411932 90472119 71309184 71309586 71309659 71309677 73755104);GNPS:(CCMSLIB00003136042 CCMSLIB00000577965);COCONUT:(CNP0161367);NORMAN:(NS00005578 NS00079380 NS00079890 NS00079950 NS00081141 NS00081976 NS00082207 NS00089034);METACYC:(CPD-12151 HIS);PLANTCYC:(HIS);CHEBI:(27947 15971 32523 32531 32532 57595 27570 32529 32527 32512 32513 32526 32510 142967);KEGG:(C00768 C06419 C00135);DSSTox:(DTXSID00208089 DTXSID00901785 DTXSID10924465 DTXSID20884263 DTXSID3020700 DTXSID401014452 DTXSID701009143 DTXSID70413027 DTXSID70889344 DTXSID80199704 DTXSID9023126);LOTUS:(Q27103201 Q485277 Q27077043);YMDB:(YMDB00794 YMDB00369);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(HNDVDQJCIGZPNO-UHFFFAOYSA-N)"	139577465726	156.077	448	7.471	6.95995064356e+17	695994677230114048	833	NA	NA	NA	NA	NA	833
